what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1588851260763
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1588851260764
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1588851260765
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1588851260765
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1588851260767
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1588851260768
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1588851260770
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1588851260771
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1588851260773
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1588851260773
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1588851260774
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1588851260774
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1588851260775
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1588851260775
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1588851260776
os,sysinfo,,,"win32",1588851260778
arch,sysinfo,,,"x86",1588851260778
ws,sysinfo,,,"win32",1588851260778
locale,sysinfo,,,"en_US",1588851260778
processors,sysinfo,,,"4",1588851260778
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1588851260778
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1588851260778
java.specification.name,sysinfo,,,"Java Platform API Specification",1588851260778
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588851260778
java.specification.version,sysinfo,,,"1.6",1588851260778
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1588851260778
java.version,sysinfo,,,"1.6.0_23",1588851260778
java.vm.info,sysinfo,,,"mixed mode",1588851260778
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1588851260778
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1588851260778
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1588851260778
java.vm.specification.version,sysinfo,,,"1.0",1588851260778
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1588851260778
java.vm.version,sysinfo,,,"19.0-b09",1588851260778
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1588851263415
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1588851264357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851282001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851282833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851283153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851286670
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588851292274
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1588851292416
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1588851292602
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1588851295237
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1588851295258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851297287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851304154
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1588851304937
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1588851304947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851308184
error,log,,,"No Byte Stream Services found for Nios II Console View",1588851313673
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1588851313915
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1588851313924
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1588851313924
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1588851313931
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1588851313946
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1588851317382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851327867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851328185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851628191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851637259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851655079
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588851655322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588851656730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588852240589
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588852247989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588852251517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588852259425
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1588852260078
error,log,,,"No Byte Stream Services found for Nios II Console View",1588852268283
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1588852271404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588852406612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588852414071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588852418451
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1588852433796
error,log,,,"No Byte Stream Services found for Nios II Console View",1588852449754
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1588852454151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853226212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853226957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853302421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853311741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853319495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853327220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853335197
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1588853335790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588853341343
error,log,,,"No Byte Stream Services found for Nios II Console View",1588853347233
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1588853351788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588854923476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588854925255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588854970059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588854975050
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1588854982760
error,log,,,"No Byte Stream Services found for Nios II Console View",1588854990070
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1588854993068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855238417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855239159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855274897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855278153
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1588855285640
error,log,,,"No Byte Stream Services found for Nios II Console View",1588855293529
